system,file,prediction_text,groundtruth,wer,cer,latency,memory
System 4 (Whisper + Always LLM),data/conversation/conversation_1.wav,"Good morning. How can I help you today? I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID such as your passport or driver's license? Yes, I have my passport right here. Great. We also need proof of your address. Something like a utility bill or a rental agreement. I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.098765432,0.059101655,15.93121862,5.44140625
System 5 (Moonshine + Gate + LLM),data/conversation/conversation_1.wav,"Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID like your passport or driver's license? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.024691358,0.004728132,1.181315899,-8.42578125
System 6 (Whisper + Gate + LLM),data/conversation/conversation_1.wav,"Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife.  Yes, I'd like to open a savings account.  Of course. Do you have a valid photo ID like your passport or driver's license?  Yes, I have my passport right here.  Great. We also need proof of your address. Something like a utility bill or a rental agreement.  I have my lease agreement with me.","Good morning. How can I help you today? Good morning. I already have an account here, but we'd like to open a new account for my wife. Yes, I'd like to open a savings account. Of course. Do you have a valid photo ID, like your passport or driver's licence? Yes, I have my passport right here. Great. We also need proof of your address, something like a utility bill or a rental agreement. I have my lease agreement with me.",0.049382716,0.021276596,0.928639174,8.42578125
System 1 (Moonshine),data/conversation/conversation_2.wav,"Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much.","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0,0.002114165,1.10902977,18.62890625
System 2 (Whisper),data/conversation/conversation_2.wav,"Perfect. I'll make copies of these documents.  While I do that, could you please fill out this account application form?  Sure.  Would you like to link this account with your husband's account or keep it separate?  I'd prefer to keep it separate, please.  No problem at all.  Also, would you like to get a debit card with this account?  Yes, that would be great.  Alright.  Once you finish the form, I'll set up your new account.  It will take about 10 minutes.  Thank you so much.","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0.022988506,0.029598309,1.256723881,8.91796875
System 3 (Moonshine + Always LLM),data/conversation/conversation_2.wav,"""Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to set up automatic payments?"" ""Do you want to obtain a debit card for this account? Yes, that would be great. Once you complete the form, I will set up your new account. It should take approximately 10 minutes. Thank you very much.""","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0.229885057,0.200845666,18.26857257,0.00390625
System 4 (Whisper + Always LLM),data/conversation/conversation_2.wav,"""Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to set up a transfer from your current account to his?"" ""Do you like to obtain a debit card for this account? Yes, that would be great. Alright. Once you complete the form, I will set up your new account. It should take approximately 10 minutes. Thank you very much.""","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0.298850575,0.234672304,19.35278988,0.0078125
System 5 (Moonshine + Gate + LLM),data/conversation/conversation_2.wav,"Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much.","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0,0.002114165,1.255565166,0
System 6 (Whisper + Gate + LLM),data/conversation/conversation_2.wav,"Perfect. I'll make copies of these documents.  While I do that, could you please fill out this account application form?  Sure.  Would you like to link this account with your husband's account or keep it separate?  I'd prefer to keep it separate, please.  No problem at all.  Also, would you like to get a debit card with this account?  Yes, that would be great.  Alright.  Once you finish the form, I'll set up your new account.  It will take about 10 minutes.  Thank you so much.","Perfect. I'll make copies of these documents. While I do that, could you please fill out this account application form? Sure. Would you like to link this account with your husband's account or keep it separate? I'd prefer to keep it separate, please. No problem at all. Also, would you like to get a debit card with this account? Yes, that would be great. All right. Once you finish the form, I'll set up your new account. It will take about 10 minutes. Thank you so much. ",0.022988506,0.029598309,1.193275452,0.00390625
System 1 (Moonshine),data/conversation/conversation_3.wav,"Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for safe","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.016666667,0.01572327,0.735525846,0.04296875
System 2 (Whisper),data/conversation/conversation_3.wav,"Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases.  In that scene, a husband and wife visited the bank to open a savings account.  A savings account is a type of bank account where you can keep your money safe and let it grow slowly.  It is mainly used for safe","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.016666667,0.025157233,0.927254677,3.73828125
System 3 (Moonshine + Always LLM),data/conversation/conversation_3.wav,"Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe. Let it grow slowly. It is primarily used for safety.","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.083333333,0.044025157,11.59649467,0
System 4 (Whisper + Always LLM),data/conversation/conversation_3.wav,"""Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe."" Let it grow slowly. It is primarily used for safety.","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.1,0.047169811,12.02560616,0.0078125
System 5 (Moonshine + Gate + LLM),data/conversation/conversation_3.wav,"Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for safe","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.016666667,0.01572327,0.838732958,0
System 6 (Whisper + Gate + LLM),data/conversation/conversation_3.wav,"Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases.  In that scene, a husband and wife visited the bank to open a savings account.  A savings account is a type of bank account where you can keep your money safe and let it grow slowly.  It is mainly used for safe","Let's take a closer look at the conversation we watched and explore some key vocabulary and useful phrases. In that scene, a husband and wife visited the bank to open a savings account. A savings account is a type of bank account where you can keep your money safe and let it grow slowly. It is mainly used for saving.",0.016666667,0.025157233,0.937012434,0.00390625
System 1 (Moonshine),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0,0,0.662731171,0.046875
System 2 (Whisper),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time called interest as a reward for keeping  your money in the account.  You can take out the money when you need it, but it's usually meant for saving, not for  regular use.  Another common type of account is a current account, which is the usual name in the  UK.","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0,0.016447368,0.95183897,4.80859375
System 3 (Moonshine + Always LLM),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time, known as interest, as a reward for keeping your money in the account. You can withdraw the money when needed, but it's typically used for savings rather than regular spending. Another common type of account is a current account. ""The account, which is the usual term in the UK,""","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0.322033898,0.236842105,11.82266116,-12.5078125
System 4 (Whisper + Always LLM),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time, called interest, as a reward for keeping your money in the account. You can withdraw the money when needed, but it's typically meant for savings rather than regular use. Another common type of account is a current account. ""Account, which is the usual term in the UK.""","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0.254237288,0.154605263,11.96248913,12.51953125
System 5 (Moonshine + Gate + LLM),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0,0,0.818924427,-12.5078125
System 6 (Whisper + Gate + LLM),data/conversation/conversation_4.wav,"The bank pays you a small extra amount over time called interest as a reward for keeping  your money in the account.  You can take out the money when you need it, but it's usually meant for saving, not for  regular use.  Another common type of account is a current account, which is the usual name in the  UK.","The bank pays you a small extra amount over time called interest as a reward for keeping your money in the account. You can take out the money when you need it, but it's usually meant for saving, not for regular use. Another common type of account is a current account, which is the usual name in the UK.",0,0.016447368,0.987677574,12.51171875
System 1 (Moonshine),data/conversation/conversation_5.wav,"In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0,0,0.712855101,-16.80078125
System 2 (Whisper),data/conversation/conversation_5.wav,"In the US and Canada, it's called a checking account.  This account is used often for daily spending, bills or business needs.  When you open any account, the bank may ask you to keep a minimum balance.  This means you must always keep a certain amount in your account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0.020408163,0.014981273,0.714429617,16.31640625
System 3 (Moonshine + Always LLM),data/conversation/conversation_5.wav,"In the US and Canada, it's called a checking account. This type of account is commonly used for daily spending, bills, or business purposes. When you open any account, the bank might require you to maintain a minimum balance, which ensures that there's always a specified amount available in the account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0.346938776,0.344569288,9.463032007,-16.3125
System 4 (Whisper + Always LLM),data/conversation/conversation_5.wav,"In the United States and Canada, a checking account is referred to as such. It is commonly used for everyday spending, paying bills, or handling business transactions. Banks typically require that you maintain a minimum balance within your account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0.775510204,0.644194757,8.037180662,16.3203125
System 5 (Moonshine + Gate + LLM),data/conversation/conversation_5.wav,"In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0,0,0.725068808,-16.3125
System 6 (Whisper + Gate + LLM),data/conversation/conversation_5.wav,"In the US and Canada, it's called a checking account.  This account is used often for daily spending, bills or business needs.  When you open any account, the bank may ask you to keep a minimum balance.  This means you must always keep a certain amount in your account.","In the US and Canada, it's called a checking account. This account is used often for daily spending, bills, or business needs. When you open any account, the bank may ask you to keep a minimum balance. This means you must always keep a certain amount in your account.",0.020408163,0.014981273,0.78544116,16.31640625
